lon_deg,lat_deg
90.57488620286999,-31.500460170260485
90.57067223050129,-31.505608564839996
90.56624961749117,-31.510628285405556
90.56162373750885,-31.51551319502236
90.55680021537862,-31.52025732061566
90.55178492028308,-31.524854860353464
90.54658395865178,-31.529300190822173
90.54120366674245,-31.533587873985724
90.53565060292485,-31.53771266391928
90.52993153967596,-31.5416695133087
90.52405345529651,-31.54545357970747
90.51802352535904,-31.54906023154265
90.5118491138982,-31.552485053862352
90.50553776435436,-31.555723853816914
90.49909719028173,-31.55877266586681
90.49253526583323,-31.561627756710315
90.48586001603375,-31.564285629924484
90.4790796068549,-31.56674303031333
90.47220233510335,-31.56899694795755
90.46523661813664,-31.571044621960212
90.45819098341929,-31.572883543883744
90.45107405793304,-31.57451146087345
90.44389455745531,-31.575926378463475
90.43666127571962,-31.577126563061558
90.42938307347262,-31.57811054410914
90.42206886744201,-31.57887711591413
90.41472761922991,-31.579425339153676
90.40736832414674,-31.579754542045176
90.40000000000002,-31.579864321183745
90.39263167585328,-31.579754542045176
90.38527238077012,-31.579425339153676
90.37793113255802,-31.57887711591413
90.3706169265274,-31.57811054410914
90.36333872428041,-31.577126563061558
90.35610544254472,-31.575926378463475
90.34892594206698,-31.57451146087345
90.34180901658074,-31.572883543883744
90.33476338186338,-31.571044621960212
90.32779766489668,-31.56899694795755
90.32092039314513,-31.56674303031333
90.31413998396627,-31.564285629924484
90.3074647341668,-31.561627756710315
90.3009028097183,-31.55877266586681
90.29446223564567,-31.555723853816914
90.28815088610183,-31.552485053862352
90.28197647464098,-31.54906023154265
90.27594654470352,-31.54545357970747
90.27006846032407,-31.5416695133087
90.26434939707518,-31.53771266391928
90.25879633325758,-31.533587873985724
90.25341604134825,-31.529300190822173
90.24821507971694,-31.524854860353464
90.24319978462141,-31.52025732061566
90.23837626249117,-31.51551319502236
90.23375038250886,-31.510628285405556
90.22932776949874,-31.505608564839996
90.22511379713004,-31.500460170260485
90.2211135814437,-31.495189394881375
90.21733197470974,-31.48980268042827
90.2137735596223,-31.484306609191712
90.21044264383893,-31.478707895913047
90.20734325487012,-31.473013379512874
90.20447913532463,-31.467230014672595
90.20185373851552,-31.461364863279588
90.19947022443165,-31.455425085747102
90.19733145607832,-31.449417932219507
90.19543999619087,-31.44335073367423
90.1937981043241,-31.437230892931247
90.19240773431986,-31.431065875581723
90.19127053215514,-31.42486320084667
90.1903878341718,-31.41863043237739
90.18976066568918,-31.41237516900876
90.18938973999998,-31.406105035476994
90.18927545774942,-31.39982767311315
90.18941790669733,-31.39355073052392
90.18981686186208,-31.387281854270963
90.19047178604515,-31.381028679560227
90.19138183073414,-31.374798820952545
90.19254583738245,-31.368599863106738
90.19396233906231,-31.36243935156641
90.19562956248842,-31.356324783601472
90.19754543040823,-31.35026359911545
90.19970756435528,-31.344263171629354
90.20211328776072,-31.33833079935297
90.2047596294185,-31.332473696354043
90.20764332729897,-31.326698983835886
90.21076083270522,-31.321013681533692
90.21410831476645,-31.31542469923973
90.21768166526184,-31.309938828467228
90.22147650376844,-31.304562734262838
90.2254881831263,-31.299302947177193
90.2297117952132,-31.294165855402802
90.23414217702172,-31.28915769708858
90.23877391703084,-31.284284552839747
90.24360136186364,-31.279552338411804
90.24861862322298,-31.274966797607018
90.25381958509651,-31.270533495381546
90.25919791122173,-31.266257811171062
90.26474705280245,-31.262144932442556
90.27046025646706,-31.25819984847968
90.27633057245893,-31.254427344408573
90.2823508630493,-31.250831995471085
90.28851381116274,-31.247418161551877
90.29481192920483,-31.244189981965427
90.30123756808186,-31.24115137050903
90.30778292640221,-31.2383060107872
90.31444005984834,-31.235657351812844
90.32120089070914,-31.233208603890052
90.32805721756138,-31.230962734783137
90.33500072508933,-31.228922466176325
90.3420229940315,-31.227090270427823
90.34911551124316,-31.225468367622096
90.35626967986332,-31.224058722923598
90.3634768295749,-31.222863044234764
90.37072822694641,-31.221882780161078
90.37801508584366,-31.22111911828531
90.38532857790011,-31.220572983752906
90.39265984303387,-31.220245038170166
